CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ADRECA,TELEFON,counter_NEG,counter_POS,nor_counter_NEG,nor_counter_POS
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429666.075,4587939.1669999985,429574.152,4587738.18,2.157006,41.438128000000006,METRO (L3) - VALLDAURA-,7.0,43.0,Horta-GuinardÃ³,Horta,,,0,0,0,0
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),428431.96200000006,4583565.877,428340.049,4583364.931,2.142754,41.398631,FGC - MUNTANER-,5.0,26.0,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,,,0,0,0,0
K011,Transports i serveis relacionats,Tramvia,434370.625,4585575.454,434278.658,4585374.488,2.213571,41.417238,"TRAMVIA (T5, T6) - ALFONS EL MAGNÃ€NIM-",10.0,70.0,Sant MartÃ­,el BesÃ²s i el Maresme,,,0,0,0,0
K011,Transports i serveis relacionats,Tramvia,434706.5,4585810.25,434614.53,4585609.281,2.217564,41.41938,"TRAMVIA (T5, T6) - PARC DEL BESÃ“S-",,,,,,,0,0,0,0
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),427434.114,4583481.448,427342.21,4583280.5030000005,2.130828,41.397781,FGC - LES TRES TORRES-,5.0,24.0,SarriÃ -Sant Gervasi,les Tres Torres,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432178.937,4586245.393999998,432086.99,4586044.422,2.187272,41.423089,METRO (L1) - LA SAGRERA (C. de Garcilaso)-,9.0,61.0,Sant Andreu,la Sagrera,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432177.807,4583981.403,432085.86,4583780.452,2.187513,41.402698,METRO (L1) - GLÃ’RIES-,10.0,66.0,Sant MartÃ­,el Parc i la Llacuna del Poblenou,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432114.338,4583190.96,432022.391,4582990.016,2.186842,41.395574,METRO (L1) - MARINA-,10.0,66.0,Sant MartÃ­,el Parc i la Llacuna del Poblenou,,,28,4,18,82
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430242.368,4582161.846,430150.438,4581960.912,2.164571,41.386145,METRO (L1) - UNIVERSITAT (Rda. de la Universitat)-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432468.674,4588375.433,432376.725,4588174.4410000015,2.190501,41.442298,METRO (L1) - TORRAS I BAGES (C. de Palomar)-,9.0,60.0,Sant Andreu,Sant Andreu,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,434697.268,4589405.548,434605.299,4589204.546,2.217064,41.451761,METRO (L1) - FONDO-,,,,,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432142.52,4583911.1669999985,432050.573,4583710.217,2.187098,41.402063,METRO (L1) - GLÃ’RIES (Av. Meridiana)-,10.0,66.0,Sant MartÃ­,el Parc i la Llacuna del Poblenou,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,425033.723,4579022.866,424941.84,4578821.963,2.102669,41.357404,METRO (L1) - AVINGUDA CARRILET-,,,,,,,0,0,0,0
K011,Transports i serveis relacionats,Tramvia,432688.06,4584567.87,432596.108,4584366.913,2.193551,41.408024,"TRAMVIA (T5, T6) - CAN JAUMANDREU-",10.0,71.0,Sant MartÃ­,ProvenÃ§als del Poblenou,,,0,0,0,0
K002,Transports i serveis relacionats,Ferrocarrils Generalitat (FGC),428791.257,4583866.67,428699.341,4583665.721,2.147016,41.401372,FGC - SANT GERVASI-,5.0,26.0,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,435636.871,4587632.584,435544.893,4587431.598,2.228502,41.435868,METRO (L2) - SANT ROC-,,,,,,,0,0,0,0
